NBLC HIGHLIGHT,NBLC MEMBER PHOTO,NBLC Member,FILE NAME,Location,FZ Name,Zone Code,Zone Name,Market Code,Market,Market Manager ,Field Consultant Name,Store Manager,Store Type,Address ,City,State or Province,Postal Code,Country ,Open Status Code,Open Date,Close Date,Vicinity,Phone Number,CDC Code,CDC Name,Wholesale Center,DMA Code,DMA Name,Wholesale Center,Alcohol Flag,Liquor Flag,Gas Flag,Gas Brand,BCP,Store Name,Store Type,Region,FC Email
,,,,10114,"7-eleven, Inc ",71599,Florida,1507,Daytona/Melbourne,Garrick Carter,Elizabeth N Sutor,Denise Williams,C,1500 GARDEN ST,Titusville,FL,32796,US,O,04/13/1968,,Garden St at Old Dixie,(321)269-3331,LAK,Florida,ME,534,Orlando-Daytona,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Sutor, Elizabeth"
,,,,10120,"7-eleven, Inc ",71599,Florida,1507,Daytona/Melbourne,Garrick Carter,Lauren C Ramirez,Rodney Kesner,C,2222 S ATLANTIC AVE,Daytona Beach,FL,32118,US,O,02/01/1967,,Atlantic at Bonner,(386)258-6835,LAK,Florida,ME,534,Orlando-Daytona,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Ramirez, Lauren"
,,,,10126,"7-eleven, Inc ",71599,Florida,1507,Daytona/Melbourne,Garrick Carter,Ryan M Burke,Shannon Duhame,C,3018 S BABCOCK ST,Melbourne,FL,32901,US,O,05/13/1966,,Babcock at University,(321)723-0404,LAK,Florida,ME,534,Orlando-Daytona,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Burke, Ryan"
,,,,10261,"7-eleven, Inc ",71599,Florida,1552,West Florida,Kyle Darling,Robert M Martzen,Mike Mccartney,C,3956 ELKCAM BLVD SE,Saint Petersburg,FL,33705,US,O,07/01/1975,,3956 Elkcam Blvd Se,(727)823-7758,LAK,Florida,ME,539,Tampa-Fl,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Martzen, Robert"
,,,,10262,"7-eleven, Inc ",71599,Florida,1552,West Florida,Kyle Darling,Robert M Martzen,Billie Johnson,C,5451 31ST ST SOUTH,Saint Petersburg,FL,33712,US,O,07/01/1975,,5451 31st St.,(727)867-2721,LAK,Florida,ME,539,Tampa-Fl,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Martzen, Robert"
,,,,10288,"7-eleven, Inc ",71599,Florida,1552,West Florida,Kyle Darling,Patricia R Fout,Kirsten Goodnow,C,3090 BEE RIDGE RD,Sarasota,FL,34239,US,O,10/29/1968,,3090 Bee Ridge Rd.,(941)924-1094,LAK,Florida,ME,539,Tampa-Fl,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Fout, Patricia"
,,,,10389,"7-eleven, Inc ",71599,Florida,1532,Palm Beach,Todd Krajewski,Everton W Dennis,Fran Michalak,C,3110 OLEANDER BLVD,Fort Pierce,FL,34982,US,O,01/18/1969,,Oleander Nr Edwards,(772)464-2479,SFL,So. Florida,ME,548,W. Palm Beach,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Dennis, Everton"
,,,,10780,"7-eleven, Inc ",72599,Liberty,2554,Nova-Potomac Battlefield,Jason Horan,Azad A Haghighi,Pui Le,C,3023 DUKE ST,Alexandria,VA,22314,US,O,12/01/1962,,Duke St at Cambridge Rd,(703)461-1900,NVA,No. Virginia,MZ,511,Washington Dc-Md,MZ,Y,N,N,,N,7-Eleven Store,Dense Daytime,EAST,"Haghighi, Azad"
,,,,10803,"7-eleven, Inc ",71399,Patriot,2511,Norfolk,Andrew Rubin,Beverly A Lenhart,Ashley Jackson,C,1713 COLLEY AVE,Norfolk,VA,23517,US,O,11/01/1960,,Colley Av/Gates Av,(757)625-2635,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Lenhart, Beverly"
,,,,10831,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Kendrick M Bell,Michael Chandler,C,10185 WARWICK BLVD,Newport News,VA,23601,US,O,02/01/1966,,Warwick Bvd & Raleigh,(757)596-9441,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Bell, Kendrick"
,,,,10837,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Kendrick M Bell,Bertha Bannister,C,11500 JEFFERSON AVE,Newport News,VA,23601,US,O,11/15/1966,,Jefferson at Groome,(757)595-7292,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Bell, Kendrick"
,,,,10841,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Brenda S Linkous,Machelle Roberts,C,744 J CLYDE MORRIS BLVD,Newport News,VA,23601,US,O,12/01/1968,,J Clyde Morris Nr Bruton,(757)595-7294,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Linkous, Brenda"
,,,,10850,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Kermit M Walker,Scott Husch,C,7114 MERRIMAC TRAIL,Williamsburg,VA,23185,US,O,09/15/1969,,Route 143 at Lee Dr,(757)229-6483,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Walker, Kermit"
,,,,10857,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Jeannine A Christensen,Michael Kahofer,C,2701 W. MERCURY BLVD,Hampton,VA,23666,US,O,07/15/1966,,W Mercury at Tallwood,(757)838-2463,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Christensen, Jeannine"
,,,,10867,"7-eleven, Inc ",71399,Patriot,2511,Norfolk,Andrew Rubin,Richard Stiles,Matthew Cabalbag,C,3500 DEEP CREEK,Portsmouth,VA,23702,US,O,06/01/1969,,Deep Creek at Elliott Av,(757)393-1283,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Stiles, Richard"
,,,,10872,"7-eleven, Inc ",71399,Patriot,2514,Virginia Beach,Dennis Paulenich,FC UNASSIGNED,Terry Watson,C,1041 BATTLEFIELD BLV,Chesapeake,VA,23320,US,O,08/01/1969,,Battlefield at Essex Dr,(757)547-0847,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"UNASSIGNED, FC"
,,,,10882,"7-eleven, Inc ",71399,Patriot,2514,Virginia Beach,Dennis Paulenich,Todd D Washington,Pamela Valois,C,242 BATTLEFIELD BLVD,Chesapeake,VA,23322,US,O,05/15/1967,,Battlefield Bvd at Old Dr,(757)482-4860,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Washington, Todd"
,,,,10912,"7-eleven, Inc ",71399,Patriot,2514,Virginia Beach,Dennis Paulenich,Faith A Fout,Marie Rivera-diaz,C,3312 HOLLAND RD,Virginia Beach,VA,23452,US,O,06/01/1971,,Holland/Lynn Haven,(757)427-6509,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Fout, Faith"
,,,,10921,"7-eleven, Inc ",71199,Pennjersey,2411,South Nj,Christopher Stewart,Gregory A Campenella,Robert Harris,C,216 WISTERIA AVE,Cherry Hill,NJ,08002,US,O,12/15/1965,,Cuthbert/Wisteria Ave,(856)486-9364,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Campenella, Gregory"
,,,,10931,"7-eleven, Inc ",71199,Pennjersey,2411,South Nj,Christopher Stewart,Scott W Francois,*,C,1440 BRACE RD,Cherry Hill,NJ,08034,US,O,06/01/1962,,Brace Nr Haddonfield,(856)429-1142,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Francois, Scott"
,,,,10950,"7-eleven, Inc ",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,Dean Gentile,C,120 OLD STAGE RD,East Brunswick,NJ,08816,US,O,08/15/1963,,Old Stage Nr Summerhill,(732)251-2067,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Cannella, Charles"
,,,,10955,"7-eleven, Inc ",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,Kim Kitchen,C,114 RYDERS LANE,Milltown,NJ,08850,US,O,07/01/1966,,Ryders Ln Nr Tices Ln,(732)214-8759,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Cannella, Charles"
,,,,11000,"7-eleven, Inc ",71199,Pennjersey,2411,South Nj,Christopher Stewart,Jacquelyn J Corcoran,*,C,508 CHURCH ST,Blackwood,NJ,08012,US,O,09/01/1966,,522 Church St at Devonshir,(856)228-7110,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Corcoran, Jacquelyn"
,,,,11008,"7-eleven, Inc ",71199,Pennjersey,2411,South Nj,Christopher Stewart,Gregory A Campenella,*,C,340 N BROADWAY AVE.,Pitman,NJ,08071,US,O,08/15/1969,,N Broadway Nr Mcclelland,(856)582-0804,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Campenella, Gregory"
,,,,11056,"7-eleven, Inc ",71399,Patriot,2515,Richmond,James Boone,Jason L Hasty,Felicia Elliott,C,225 SOUTH BOULEVARD,Petersburg,VA,23805,US,O,10/15/1964,,Boulevard at Ft Mahone,(804)732-9152,RCH,Richmond,NC,556,Richmond,NC,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Hasty, Jason"
,,,,11070,"7-eleven, Inc ",71399,Patriot,2515,Richmond,James Boone,Jason L Hasty,Frances Helmenstein,C,900 S SYCAMORE,Petersburg,VA,23803,US,O,11/15/1969,,Sycamore St Nr Short St,(804)861-5928,RCH,Richmond,NC,556,Richmond,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Hasty, Jason"
,,,,11079,"7-eleven, Inc ",71399,Patriot,2511,Norfolk,Andrew Rubin,Hristos Polimenopulos,Yvonne Howell,C,606 SOUTH MAIN ST,Emporia,VA,23847,US,O,05/01/1972,,S Main St Nr Jefferson St,(434)634-3836,TDW,Tidewater,NC,556,Richmond,NC,Y,N,Y,7-Eleven,N,7-Eleven Store,Rural,EAST,"Polimenopulos, Hristos"
,,,,11086,"7-eleven, Inc ",71399,Patriot,2515,Richmond,James Boone,Ernest Gunaratnam,Rajendra Patel,C,321 LIBBIE AVE,Richmond,VA,23226,US,O,08/01/1961,,321 Libbie Av at York Rd,(804)285-1530,RCH,Richmond,MZ,556,Richmond,MZ,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Gunaratnam, Ernest"
,,,,11122,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Larry Draper,Elizabeth Forbus,C,427 N COALTER ST,Staunton,VA,24401,US,O,01/01/1971,,Coalter St & Statler Blvd,(540)885-3499,RCH,Richmond,MZ,569,Harrisonburg Va,MZ,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Draper, Larry"
,,,,11128,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Larry Draper,Khan Business Inc,C,1103 IVY ST,Waynesboro,VA,22980,US,O,12/01/1966,,Ivy St at King Ave,(540)943-9678,RCH,Richmond,MZ,569,Harrisonburg Va,MZ,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Draper, Larry"
,,,,11136,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Cindy D Dodson,Terri Newsome,C,1849 SEMINOLE TRAIL,Charlottesville,VA,22901,US,O,02/01/1969,,Rt #29 N at Woodbrook Ave,(434)973-6373,RCH,Richmond,MZ,584,Charlottesville,MZ,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Dodson, Cindy"
,,,,11159,"7-eleven, Inc ",72499,North Atlantic,2422,New York Nassau,Peter Vogelsberg,Jason N Ferencz,Jose Pereira,C,80 BROOKLYN AVE,Freeport,NY,11520,US,O,05/15/1967,,Brooklyn Ave at Grove St,(516)868-5017,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Ferencz, Jason"
,,,,11180,"7-eleven, Inc ",72499,North Atlantic,2422,New York Nassau,Peter Vogelsberg,Lesvia S Paress,*,C,1275 FRONT ST,Uniondale,NY,11553,US,O,07/15/1966,,Front St at Arcadia St,(516)538-1307,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Paress, Lesvia"
,,,,11194,"7-eleven, Inc ",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Ronald E Nelson,Sixto Ramos,C,1316 MIDDLE COUNTRY RD.,Selden,NY,11784,US,O,12/15/1965,,Rt 25/Jericho/Paula Bvd,(631)698-7629,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Nelson, Ronald"
,,,,11204,"7-eleven, Inc ",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Bonnie A Grube,Sanjay Basnet,C,2715 UNION BLVD,Islip,NY,11751,US,O,05/01/1967,,Union Chapel at Nassau,(631)277-9681,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Grube, Bonnie"
,,,,11212,"7-eleven, Inc ",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Matthew Geisperger,*,C,81 SHEPPARD LN,Smithtown,NY,11787,US,O,02/17/1994,,Sheppard Lane at Smithtown,(631)360-1929,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Geisperger, Matthew"
,,,,11265,"7-eleven, Inc ",71099,Appalachian,1002,Western Ny,Jeffrey Mead,Kelly J Schoenhardt,Marion Martin,C,4340 S BUFFALO RD,Orchard Park,NY,14127,US,O,11/15/1970,,S Buffalo Rd Nr Argyle,(716)662-5083,BUF,Buffalo,NE,514,Buffalo,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Schoenhardt, Kelly"
,,,,11274,"7-eleven, Inc ",71099,Appalachian,1002,Western Ny,Jeffrey Mead,Kelly J Schoenhardt,Tera Roseboro,C,2970 UNION RD,Cheektowaga,NY,14227,US,O,08/01/1971,,Union Rd Nr Vern Ln,(716)683-7723,BUF,Buffalo,NE,514,Buffalo,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Schoenhardt, Kelly"
,,,,11301,"7-eleven, Inc ",71199,Pennjersey,2408,Philly Delaware,Janice Tangradi,Robert J Giballa,Elva,C,60 S GERALD DR,Newark,DE,19713,US,O,09/01/1964,,60 S Gerald Dr,(302)731-9277,NMD,No. Maryland,MZ,504,Philadelphia,MZ,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Giballa, Robert"
,,,,11693,"7-eleven, Inc ",72599,Liberty,2543,Maryland Coastal Plains,Abdallah Jaffa,Moses K Adejoh,Helene Stone,C,3411 DALLAS DRIVE,Marlow Heights,MD,20748,US,O,11/01/1976,,Dallas Dr Nr St Barnabas,(301)423-6593,NVA,No. Virginia,MZ,511,Washington Dc-Md,MZ,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Adejoh, Moses"
